緯度,経度,標高
35.5465218,139.67234783333333,39.2
35.54642621666667,139.67231,39.2
35.5464811,139.67225683333334,39.2
35.546487766666665,139.672257,39.2
35.54653041666667,139.67225183333332,39.2
35.54652646666667,139.67224683333333,39.2
35.5465209,139.672245,39.2
35.54652108333333,139.67224483333334,39.2
35.54652086666667,139.67224483333334,39.2
35.546520783333335,139.67224483333334,39.2
35.54652075,139.67224483333334,39.2
35.546520783333335,139.67224466666667,39.2
35.546520816666664,139.67224466666667,39.2
35.546520916666665,139.67224466666667,39.2
35.54652105,139.67224466666667,39.2
35.546521133333336,139.67224466666667,39.2
35.546521266666666,139.67224466666667,39.2
35.5465219,139.6722445,39.2
35.546521033333335,139.6722475,39.2
35.5465163,139.67225383333334,39.2
35.5465112,139.672257,39.2
35.5465042,139.67226633333334,39.2
35.54649625,139.67227433333332,39.2
35.54648916666667,139.67228116666666,39.2
35.546481883333335,139.67228966666667,39.2
35.5464747,139.67229866666668,39.2
35.5464682,139.67230683333332,39.2
35.5464568,139.67231383333333,39.2
35.546449116666665,139.672321,39.2
35.546439916666664,139.672329,39.2
35.54643193333333,139.67233766666666,39.2
35.546424566666666,139.67234666666667,39.2
35.54641616666667,139.672355,39.2
35.54640776666667,139.672365,39.2
35.546398966666665,139.67237433333332,39.2
35.546390233333334,139.67238316666666,39.2
35.546381716666666,139.67239166666667,39.2
35.54637385,139.67240016666668,39.2
35.54636476666667,139.67240883333332,39.2
35.54635583333334,139.672418,39.2
35.54634573333333,139.67243116666666,39.2
35.54633476666667,139.67244233333332,39.2
35.5463288,139.672457,39.2
35.54632436666667,139.67247,39.2
35.546322333333336,139.67248266666667,39.2
35.54632253333333,139.67249283333334,39.2
35.54632225,139.67250116666668,39.2
35.546323083333334,139.67250783333333,39.2
35.54632661666667,139.67251666666667,39.2
35.54633325,139.67252333333334,39.2
35.546344016666666,139.6725295,39.2
35.54635495,139.6725345,39.2
35.5463669,139.672534,39.2
35.546377783333334,139.672532,39.2
35.546387466666665,139.67252633333334,39.2
35.54639696666667,139.67251983333333,39.2
35.54640666666667,139.67251283333334,39.2
35.5464162,139.67250466666667,39.2
35.54642533333333,139.67249783333332,39.2
35.54643573333333,139.6724905,39.2
35.546445283333334,139.67248416666666,39.2
35.546454266666665,139.672475,39.2
35.54646328333333,139.67246616666668,39.2
35.546472783333336,139.67245783333334,39.2
35.546481166666666,139.67244783333334,39.2
35.54649095,139.67244083333333,39.2
35.54649931666667,139.67243166666665,39.2
35.54650885,139.67242333333334,39.2
35.546515916666664,139.67241716666666,39.2
35.546527366666666,139.67240966666665,39.2
35.546536366666665,139.67240083333334,39.2
35.54654673333334,139.67239183333334,39.2
35.54655635,139.67238366666666,39.2
35.546563633333335,139.67237166666666,39.2
35.5465637,139.67235816666667,39.2
35.54656166666667,139.67234466666667,39.2
35.54655781666666,139.67233216666668,39.2
35.54655458333333,139.6723165,39.2
35.546549733333336,139.6723,39.2
35.54654446666667,139.67228683333335,39.2
35.54653776666667,139.67227333333332,39.2
35.54653365,139.67226133333332,39.2
35.54652866666667,139.67225133333332,39.2
35.546522366666665,139.67224066666665,39.2
35.54651715,139.67223016666668,39.2
35.54651213333333,139.67222033333334,39.2
35.54651046666667,139.67222016666668,39.2
35.546511933333335,139.6722215,39.2
35.54651258333333,139.67222266666667,39.2
35.54651188333333,139.6722215,39.2
35.546511933333335,139.67222133333334,39.2
35.54651201666667,139.67222116666667,39.2
35.5465124,139.67222133333334,39.2
35.54651281666666,139.6722215,39.2
35.5465127,139.6722215,39.2
35.546512766666666,139.67222133333334,39.2
35.54651265,139.67222133333334,39.2
35.54651258333333,139.67222133333334,39.2
35.54651255,139.67222133333334,39.2
35.54651261666667,139.67222133333334,39.2
